state,fire_size,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,putout_time
MN,320982.22,1415.546225708,1960.559314856,2316.578499545,1222.380628756,1223.2432814640001,1221.961770828,21371.88196455,20748.71933646,19962.43413865,493
MO,4094.68,847.65092644,920.338414616,955.736269031,345.396793647,343.145099914,342.266216405,6197.53789719,6049.31966806,5909.64736343,9
MS,31602.96,19329.301580934,19477.211682696,19558.140476826,3479.515729703,3473.361171704,3459.358791474,86106.76739483,84823.6515782,83121.18460784,105
MT,3055466.52,8587.970796966,8873.646768225,9026.406266787,1624.24825126,1596.619022768,1576.990104133,25608.47892785,24812.42092708,24176.85101097,9398
NC,109890.5,2873.302858823,3017.243931575,3154.514007319,570.088714727,581.269409167,577.439440925,16284.42299341,16063.2481444,15868.70799211,332
ND,167593.9,1541.55146131,1799.654904754,2011.821322883,1065.043400117,1041.169212977,1016.686746049,13951.99974964,13383.77183188,12962.25402124,74
NE,328276.0,1387.425990567,1477.127849876,1575.960403037,558.314134977,561.305029175,562.93540752,7633.5729494199995,7392.7603053,7313.31897439,112
NJ,17069.0,51.367204328,54.985672199999996,61.652459840999995,23.469924837,22.637983931,22.842297272,446.47680668,441.39596967,435.44794415,63
NM,2514165.96,8634.28912648,9065.140637481,9220.510227998,1831.090125956,1819.047023837,1779.299007079,15895.70896668,15713.08772249,15846.709225943,4509
NV,5882785.24,10020.550083392,10243.607299394,10484.856898499,1475.33574563,1433.308475098,1378.355021717,12454.323795734,12129.811825891,11816.256993873,2137
NY,686.8,2391.542570906,2857.927860083,3138.089025716,1206.857076331,1196.107470342,1151.897829399,22208.78097051,21630.42530755,20993.35686421,1271
OH,556.2,344.180007401,376.359490528,385.978363101,96.700559012,97.152699869,95.90322209200001,2679.63352883,2640.26736737,2565.43834206,33
OK,524269.7,7818.999436988,8143.512837513,8376.524088273,1880.695229635,1904.801613746,1929.555423161,35327.05483898,34675.65278428,33754.90707025,405
OR,2911352.16,7016.319606158,7206.253835841,7373.843496047,987.500486532,969.804661517,937.68217229,16159.64483292,15689.49031306,15240.55689844,5237
PA,655.9,538.726074168,595.204332288,623.239272704,244.51846105,252.546793227,248.44660458500002,4929.19753572,4820.40392219,4665.41432169,21
PR,65.0,23.53384913,23.43359375,23.7826087,4.8351456310000005,4.530588235,4.068695652,72.03898635,73.60629921,75.07826087,1
SC,2231.6,3921.890581593,4086.151037529,4191.670369934,604.680632618,612.846238735,614.655195596,16868.68595447,16702.95488689,16418.73066423,15
SD,405937.16000000003,3832.998948325,3979.937197239,4077.9169564110002,1200.758095448,1201.565422936,1180.604485724,15971.87484832,15645.6904484,15388.1029864,231
TN,7452.95,2595.207394552,2665.737272571,2682.386128066,561.108976715,567.695296826,541.768720303,14648.36601548,14464.13881546,14115.82861474,90
TX,1271717.32,9748.971371952,9947.054289845,10085.940247563,1441.726894576,1443.730604445,1442.020124732,27235.9911474,26775.84251184,26335.030870130002,553
UT,1699553.92,5228.267087429,5439.411102887,5560.968404305,880.368046974,870.66727318,848.747786807,9869.98987577,9554.65606787,9494.567716088,2290
VA,78150.3,399.623403775,440.65883468100003,465.773297105,85.177969109,85.879542595,82.929622765,2070.72333079,2022.56536601,2044.39286545,326
WA,2844026.44,5368.716624331,5565.122965367,5793.998032294,942.760052496,928.570574308,920.476963059,13864.83605327,13362.70385582,12898.6013298,5784
WI,528.05,752.733830242,887.788156785,927.705872708,363.121364129,366.62957636,370.40930976100003,6616.65338327,6494.68097924,6259.8695196300005,3
WV,28546.1,2038.056983396,2255.691664461,2321.248811357,705.896995638,714.520652047,710.395743286,15580.41765559,15084.55524768,14623.93214623,100
WY,1030147.05,4149.99816328,4297.438666521,4381.05369399,866.580827635,854.563981653,853.86502477,10874.8362634,10549.10095381,10310.50094882,3649
