,fire_index,Temp_pre_15,Wind_pre_15,Hum_pre_15
198,988,29.99629286,0.121686747,60.03817505
199,1002,9.869082126,3.323429952,72.94910941
200,1003,24.92391304,1.7239782019999998,67.870317
201,1010,18.54022989,5.025287356000001,65.97626113
202,1013,10.47201946,5.36107056,59.4464752
203,1014,8.369575472000001,4.179432624,63.42316785
204,1016,20.44225352,2.949295775,27.71186441
205,1018,20.49779412,3.806862745,32.50735294
206,1023,25.48240741,1.4729265969999998,67.94585253
207,1031,3.420570265,3.232106339,68.77914109999999
208,1040,28.06034483,4.115217391,72.93859649
209,1041,23.01295337,3.3261658030000003,44.2486911
210,1045,4.801906412,3.021565217,79.87077535
211,1062,3.448617512,5.496313364,64.42691415
212,1077,2.521779425,2.562001854,69.16159696
213,1079,10.89825871,5.105735661000001,70.47582697
214,1082,11.39003759,3.10960452,73.57537155
215,1083,21.93613054,3.3258741260000004,45.73193473
216,1085,5.119406393,2.696575342,68.83510638
217,1086,3.194624652,1.26107507,59.27657143
218,1087,3.104,3.952,71.59183673
219,1089,26.91857506,2.791603053,57.40458015
220,1097,3.727065026,3.3646748680000003,64.41935484
221,1099,24.16372796,4.09395466,48.08947368
222,1101,6.350324374,4.993141798,56.15106579999999
223,1103,22.23995157,0.622276029,71.48725212
224,1104,13.24090909,4.595890411,51.60377358
225,1105,10.96388889,3.859166667,60.84444444
226,1122,24.09160584,3.774452555,35.16788321
227,1136,26.80979021,3.862237762,67.20863309
228,1151,5.442211055,6.347738692999999,61.06060606
229,1152,10.85320334,2.398050139,64.43175487
230,1153,17.04899135,0.944380403,56.02194357
231,1182,24.85395034,3.82239819,32.30542986
232,1183,25.91317204,2.581451613,62.8543956
233,1199,21.06634845,2.805727924,53.40095465
234,1207,22.80694444,4.384166667,81.64722222
235,1210,19.24292804,4.110173697,53.57568238
236,1211,15.07762646,3.319844358,79.22769953
237,1212,13.48052209,3.346586345,50.68869936
238,1213,19.29861111,2.420555556,74.28125
239,1214,18.69907407,3.582828283,58.88741722
240,1216,20.76940133,3.899556541,76.85529716
241,1224,16.1826087,3.176970954,75.39791667
242,1235,13.83947939,3.2252448310000004,48.58433079
243,1236,11.16573034,2.363202247,67.02808989
244,1244,23.65019011,1.790494297,66.19653768
245,1245,26.2994012,1.7975830819999998,72.62857143
246,1260,38.26814404,3.954901961,15.29691877
247,1268,25.8,1.1887052340000002,78.01928375
248,1271,27.31136364,2.2,27.80681818
249,1276,26.93244353,2.537681159,76.4679089
250,1277,17.53116531,2.696195652,50.67934783
251,1280,22.40371179,2.527729258,74.73506494
252,1285,23.09333333,3.414722222,63.20555556
253,1291,14.90166976,1.014948932,72.76452599
254,1294,21.95163043,4.926630435,36.46866485
255,1297,28.61781076,1.779591837,64.82539683
256,1298,17.01149144,1.857212714,46.06142506
257,1301,11.40995261,3.211374408,69.52392947
258,1304,7.572614108,3.69813278,71.95850622
259,1309,14.93720317,2.7067039110000004,54.08426966
260,1310,11.93502825,2.176836158,58.99421965
261,1311,9.510277778,4.370833333,61.81388889
262,1312,2.133737185,3.691053122,60.23782235
263,1323,18.98876404,4.099250936000001,58.77862595
264,1327,26.98457661,1.381048387,46.72479839
265,1328,18.3307377,4.759670782,42.34297521
266,1335,12.35690299,3.846641791,70.82862524
267,1336,33.12256267,2.7064995360000004,46.33333333
268,1344,12.23901345,2.427865169,69.1875
269,1348,18.05928571,3.5307142860000003,72.39853301
270,1357,3.349928673,2.539142857,61.91907514
271,1366,24.591,1.7535,71.38917526
272,1368,13.01214953,2.844485981,53.72228321
273,1369,24.65862069,3.0333333330000003,28.48275862
274,1370,14.71388102,1.606837607,69.34492754
