fire_id,state_no,discovery_month_no,Temp_pre_30,Wind_pre_30,Hum_pre_30,fire_size_bin_no,medium_plus
199,45,3,-4.752636719,2.566113281,58.96285435,1,0
204,26,4,8.176333022,5.272965388,53.64546305,1,0
206,8,6,23.80095579,2.394504182,75.06703146,1,0
217,36,11,16.65162542,1.436050461,66.92937123,1,0
220,8,12,11.23170732,1.898634146,71.51806491,1,0
221,34,4,5.052132701000001,4.87614534,67.19410745,1,0
222,22,11,11.3474026,2.223886827,66.80668127,2,0
227,21,3,4.907527881,3.316968852,64.06889952,3,0
230,7,6,26.41514523,2.52195122,72.25556734,1,0
232,7,7,25.88221884,2.158599696,79.37366003,4,1
237,28,3,11.2238806,5.811940299,28.17910448,3,0
251,22,2,15.16744412,3.357240039,77.15352697,3,0
261,24,5,16.81509795,1.394457716,66.23065550000001,2,0
266,37,5,8.912280702,6.020350877,61.40078844,1,0
276,22,2,10.09845288,2.14374121,69.73980309,1,0
280,8,2,-10.23333333,3.831023102,82.49462366,1,0
284,22,10,18.92649098,2.491748252,67.4,3,0
286,4,6,16.59636872,4.586219739,35.27061015,2,0
290,40,8,26.37894737,2.076842105,41.35789474,1,0
297,44,4,10.8684435,3.11684435,43.23409669,1,0
313,25,5,8.762987737000001,5.76477146,54.86241611,1,0
315,32,2,6.189953271,3.377139508,65.54694836,4,1
318,44,5,13.88100559,3.958108108,54.1463964,2,0
323,25,10,12.73972868,4.985645005,68.63189569,1,0
324,8,2,7.759432932999999,3.326717557,71.58789954,1,0
328,2,4,16.68584759,3.390654206,66.64962121,1,0
338,28,7,20.5,4.866666667,37.66666667,1,0
343,22,3,6.300714286,3.3505730660000004,67.45244957,1,0
344,28,11,9.757039187,3.025726744,41.74563953,1,0
347,8,3,16.18298851,1.557931034,70.53521127,1,0
357,24,4,12.57722008,1.3764478759999998,58.98604911,1,0
360,19,4,-0.914884393,3.963728324,72.96802326,1,0
361,8,8,27.90471254,2.425754717,72.58578680000001,1,0
368,45,4,8.291103604,4.492298981,38.23216308,1,0
374,4,5,18.38964695,2.470419847,27.80629771,1,0
377,44,4,7.713532513,1.335383714,61.81389870000001,1,0
382,24,4,15.527390900000002,1.801021356,58.45755473,1,0
384,14,12,3.244621141,3.205004677,68.46410442,1,0
385,26,3,2.12681669,3.797515237,78.82154341,4,1
389,8,4,10.11024436,2.187511826,69.61987041,2,0
396,25,4,5.941639648,5.103942486,58.85946197,1,0
399,43,5,11.60736111,4.235277778,64.02302158,2,0
401,29,7,29.24183007,4.374,17.06,3,0
407,32,6,24.66878669,2.154397233,72.68441273,3,0
421,32,11,9.762695776,2.62586616,62.41984334,1,0
424,39,7,28.4452182,5.2136026,33.30536131,4,1
439,14,4,4.742282507,2.078890456,67.29130435,3,0
440,30,4,4.522843057,3.731440329,66.80936455,1,0
441,5,10,18.11330749,1.3751937980000002,52.75398936,1,0
445,24,3,9.370060923,2.980765883,58.5671406,1,0
448,8,2,12.03510324,3.576627219,66.80722892,1,0
464,25,4,-1.37564645,5.796229972000001,72.39124227,1,0
470,5,6,13.49457672,3.1058201060000004,63.75629139,1,0
479,8,9,26.39660057,2.939093484,69.31714286,1,0
482,4,5,15.34555556,3.801111111,41.35555556,1,0
484,22,10,22.70235131,1.985062241,76.8769018,1,0
486,36,7,27.95972696,2.3621843,53.00204778,1,0
489,8,4,13.30962343,2.6820548580000003,70.14821029,1,0
494,33,8,21.10714286,3.774524362,61.83519034,1,0
501,8,6,24.90509584,2.589060309,68.29145978,1,0
504,8,4,16.14093649,2.099026426,50.18830084,1,0
507,2,3,10.6399093,3.333786848,69.56069364,2,0
513,2,9,24.97861702,2.493783494,73.95156082,1,0
524,2,3,12.28065268,2.1882517480000003,64.33116883,1,0
525,32,3,6.8777985070000005,4.228311567,63.62540021,3,0
528,13,4,10.92540894,4.169162996,62.8314978,2,0
532,2,4,18.75098814,3.069762846,54.29856851,3,0
538,20,3,-10.63913914,3.675975976,59.66740331,1,0
542,32,11,10.85252809,2.055383895,59.37794486,1,0
545,8,10,18.69928532,0.483672347,71.56412478,1,0
547,24,3,2.149489322,2.412598791,61.35783563,1,0
552,39,8,30.06204188,5.389267016,66.56749672,2,0
553,8,12,7.861764706000001,2.009328969,65.84779051,1,0
555,22,10,23.14019886,1.551420455,63.30681818,1,0
564,38,9,21.63078849,1.235043805,71.8972973,3,0
565,22,7,25.12463158,2.144315789,81.77993528,2,0
566,39,4,18.61419897,3.267211583,63.13804714,3,0
576,2,3,14.81492921,3.343629344,55.19638243,4,1
589,10,6,17.10993377,5.708609272,39.11419069,3,0
595,4,11,13.89625,1.908055556,28.88317107,3,0
599,13,3,-2.414776632,4.013793103,66.87022016,3,0
606,22,11,15.1047205,2.309565217,67.34992888,1,0
608,5,5,14.80959302,1.988275194,38.63655137,3,0
613,22,2,5.85625,4.210138889,61.17994100000001,4,1
