fire_id,km_class7,km_class15,km_class30,km_pca_class7,km_pca_class15,km_pca_class30,hc_class7,hc_class15,hc_class30,km_scaled_class7,km_scaled_class15,km_scaled_class30
15644,1,2,2,0,1,0,1,1,1,1,1,1
15648,0,0,3,1,0,2,2,2,2,2,2,2
15649,0,3,0,2,1,0,0,0,0,0,0,0
15650,0,3,0,2,1,0,0,1,0,0,1,0
15651,0,3,3,2,1,0,0,0,0,0,0,0
15653,2,2,2,0,2,1,1,1,1,1,1,1
15654,2,2,2,0,2,1,2,1,1,2,1,1
15655,2,0,3,1,0,2,2,2,2,2,2,2
15657,0,3,0,1,0,0,2,2,1,2,2,1
15658,0,0,3,1,0,2,2,2,2,2,2,2
15664,2,0,2,1,0,2,2,2,2,2,2,2
15667,0,0,3,1,0,2,0,2,2,0,2,2
15675,0,0,3,1,0,2,2,2,2,2,2,2
15677,1,1,1,0,2,1,1,1,1,1,1,1
15678,2,2,0,0,2,0,0,1,0,0,1,0
15686,0,0,3,1,0,2,2,2,2,2,2,2
15687,0,3,0,2,0,2,2,0,0,2,0,0
15689,1,1,1,0,2,1,1,1,1,1,1,1
15692,1,1,1,0,2,1,1,1,1,1,1,1
15696,2,0,3,1,0,0,2,0,0,2,0,0
15697,2,2,3,1,0,2,2,2,0,2,2,0
15698,1,1,2,0,2,1,1,1,2,1,1,2
15700,2,2,2,0,2,1,1,1,1,1,1,1
15715,2,2,2,2,1,0,0,1,0,0,1,0
15716,0,0,3,1,0,2,2,2,2,2,2,2
15717,0,2,2,1,2,2,2,0,2,2,0,2
15725,0,0,3,2,0,0,0,2,0,0,2,0
15726,0,0,3,1,0,2,2,2,2,2,2,2
15727,2,2,0,2,1,0,0,0,0,0,0,0
15735,2,0,3,1,0,2,2,2,2,2,2,2
15739,0,0,3,1,0,2,2,2,2,2,2,2
15741,0,0,3,1,0,2,2,2,2,2,2,2
15746,1,1,1,0,2,1,1,1,1,1,1,1
15751,0,2,2,2,1,0,0,0,0,0,0,0
15753,1,1,1,0,2,1,1,1,1,1,1,1
15755,0,3,0,2,1,0,0,0,0,0,0,0
15759,0,0,3,1,0,2,2,2,2,2,2,2
15760,0,0,3,1,0,2,0,2,2,0,2,2
15765,2,3,2,2,1,0,0,0,0,0,0,0
15769,1,1,1,0,2,1,1,1,1,1,1,1
15773,1,1,2,0,2,1,1,1,1,1,1,1
15775,0,0,3,1,0,2,0,2,0,0,2,0
15778,0,0,3,2,1,2,0,0,0,0,0,0
15799,2,2,2,0,2,1,2,1,1,2,1,1
15810,0,3,0,2,1,0,0,0,0,0,0,0
15811,0,3,0,2,1,0,0,0,1,0,0,1
15815,0,3,0,2,1,0,0,0,0,0,0,0
15818,2,1,1,1,2,1,2,1,1,2,1,1
15822,0,0,3,1,0,2,0,2,2,0,2,2
15824,0,3,0,2,1,0,0,0,0,0,0,0
15825,0,0,3,1,0,2,2,2,2,2,2,2
15829,2,0,2,2,1,0,2,0,0,2,0,0
15840,0,3,0,1,0,0,2,2,0,2,2,0
15842,2,2,2,2,2,0,0,1,1,0,1,1
15860,0,0,3,1,0,2,0,2,2,0,2,2
15864,1,2,2,0,2,2,1,1,2,1,1,2
15866,1,1,2,0,2,1,1,1,1,1,1,1
15869,1,1,1,0,2,1,1,1,1,1,1,1
15883,1,2,2,0,2,1,1,1,1,1,1,1
15887,0,0,3,1,0,0,0,2,0,0,2,0
15893,2,0,3,1,0,2,2,2,2,2,2,2
15908,1,2,2,0,2,1,1,1,1,1,1,1
15909,0,0,0,1,0,0,0,2,0,0,2,0
15910,2,0,3,1,0,2,0,2,2,0,2,2
