,fire_name,discovery_month,putout_time,year
1129,551 JARVISBURG RD,Jul,0,2013
1131,TEN MILE,Jul,0,1993
1140,FY2001-PULASKI-038,Jan,0,2001
1145,MILE POST 6 FIRE,Nov,0,2009
1151,DALY,Apr,0,2002
1153,JOLLY RODGER,Jul,0,1998
1158,515,May,0,2015
1172,FOWLERS FIRE,Jun,12,2011
1180,HILL,Aug,0,2013
1182,PEONY,Aug,69,2015
1197,SIMMONS POND FIRE,Mar,0,2011
1199,RED WILLOW,Aug,0,2005
1207,MUSKEGON 03,Jul,0,2013
1210,WESTON HILLS,Aug,1,2009
1211,2011-CARUSO FIRE-0106,Feb,0,2011
1212,LONG BRANCH,Apr,1,2014
1213,DEEP CREEK,Aug,1,2013
1214,FY2001-BRANTLEY-088,Apr,0,2001
1215,STOCKDALE,Jul,3,2007
1235,CHANDALAR,Jun,8,2004
1236,WILLIAM SMITH ROAD,Nov,0,2005
1247,FY2014-LOWNDES-009,Jan,0,2014
1251,BOULDER-WYMAN,May,2,2001
1260,4TH OF JULY,Jul,4,2015
1261,REBURN,Sep,0,1996
1271,H HOLLOW 2,Jul,2,1994
1276,8054,Jul,0,2014
1277,UNNAMED FIRE 1981,Oct,0,2007
1285,STERLING FIRE,Jul,0,2013
1291,OLD WHETSTONE,Oct,1,2015
1294,MURPH,Sep,0,1996
1297,FY2012-DECATUR-001,Aug,0,2011
1304,DEER LAKE,Mar,3,2010
1308,6272,Aug,0,2013
1309,HIDDEN AGENDA,Jun,3,2014
1310,POPLAR,May,0,2000
1312,RL059,Apr,0,2009
1323,DONUT,Jun,0,2006
1327,BLUE,Jul,0,1992
1328,UNIT 48,May,2,1993
1334,LINDEN - 6283,Nov,0,2012
1336,HENDERSON - 385,Aug,0,2011
1338,RL37,Mar,0,2000
1339,WOODVILLE - 200,Aug,0,2009
1340,HURRICANE ASST. #3,Jun,2,2011
1351,OTA 11,Jun,0,2010
1357,REICHWEIN RD,Mar,3,2015
1368,FY2013-BULLOCH-053,Mar,0,2013
1370,BROOLYN BRIDGE,Feb,2,2000
1375,MCNIGHT FIRE,Aug,0,2011
1376,"LOST CREEK RD, AL",Nov,0,2011
1383,WHITE BODY,Oct,0,1998
1393,CAYUSE,Aug,12,2012
1399,UNKNOWN,Mar,0,2013
1406,LAGUNA,Nov,0,2008
1416,LONGHOLL2,Apr,0,2001
1423,RL192,May,0,2009
1430,CANADA,Jul,1,2008
1432,FY2015-COWETA-013,Mar,0,2015
1436,LIVINGSTON - 231,Aug,0,2009
1441,DEEP LAKE,Jun,4,2008
1454,HIDDEN VALLEY,Jul,0,2012
1455,MS2003,May,0,1996
1459,BIRTHDAY (38),Aug,0,2011
1466,AIRPORT,Jul,0,2014
1474,LA PLATA 3,Jul,0,1996
1480,SLICK CREEK 8,Jun,0,2012
1482,HORSE STABLE,Aug,1,2006
1489,SOME KUDZU,Mar,3,1999
1496,RL489,Apr,0,2003
1512,8017,Mar,0,2013
1518,FLEMING,Jun,0,2012
1519,WHEAT,Jun,0,2008
1520,STATE,May,0,1998
1522,RT 10 NEAR SAND CREEK,Jun,0,2005
1523,LIVESTOCK YARD,Jul,1,1994
1528,FITZHUGH WILLIAMS LN,Apr,0,2012
1529,VALLEY CRK 184,Oct,3,2012
1531,OWL SPRINGS 1,May,1,2012
