,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,year
636,18.0,Lightning,41.6908,-116.4258,NV,Aug,1,2012
640,160.0,Debris Burning,47.34027778,-114.74666670000002,MT,May,19,2001
642,1.0,Arson,36.86638889,-84.49083333,KY,Apr,1,2004
644,12.1,Debris Burning,32.2014,-83.7933,GA,Jan,0,2002
646,3.0,Lightning,34.2722222,-111.035556,AZ,Sep,3,2010
654,1500.0,Debris Burning,39.83333333,-98.83333333,KS,Oct,1,1999
655,1.0,Debris Burning,31.2408,-81.4975,GA,Jun,0,1993
661,1.0,Arson,31.28657477,-89.76181109999999,MS,May,0,1996
665,75.0,Utilities,43.175,-103.975,SD,Oct,0,1992
668,2.81,Debris Burning,32.4415,-84.1977,GA,Mar,0,2002
670,5.0,Lightning,66.9106,-153.675,AK,Jul,12,2011
671,135.0,Debris Burning,34.64395,-92.18399,AR,Jun,0,2012
676,0.8,Lightning,45.18722222,-116.3205556,ID,Jul,1,2003
680,27.0,Arson,34.380043,-87.995841,AL,Mar,0,2005
684,8.0,Lightning,46.57666667,-115.4566667,ID,Aug,5,1998
685,11.0,Debris Burning,39.43448578,-80.97662087,WV,Mar,0,2001
695,1.0,Arson,33.92163022,-89.94962868,MS,Mar,0,1992
700,1.0,Arson,34.8366667,-92.7663889,AR,Mar,1,2010
708,6.0,Debris Burning,40.60509109,-98.47724152,NE,May,0,2013
710,8.0,Debris Burning,34.30303308,-88.96634433,MS,Aug,0,1999
711,25.0,Arson,43.2533,-116.1603,ID,Jul,0,2011
714,5.0,Arson,26.13027778,-98.15666667,TX,Jul,0,2009
721,83.0,Debris Burning,36.7875,-108.6911,NM,Apr,0,2009
722,8.0,Lightning,39.9932,-119.9877,CA,Jun,1,1996
730,0.7,Accidental,47.855,-91.00777778,MN,Jul,1,2002
744,0.6,Accidental,45.9916,-89.8529,WI,Apr,0,1997
745,0.72,Debris Burning,43.31068615,-76.42438889,NY,Apr,0,2000
755,10.0,Debris Burning,26.41166667,-98.92027778,TX,Jan,1,2008
761,10.11,Debris Burning,34.0531,-85.2719,GA,Jan,0,2000
763,2.0,Accidental,48.465,-114.015,MT,Apr,0,1992
769,25.0,Arson,35.367933,-84.39156,TN,Oct,0,2007
772,35.0,Accidental,41.87133408,-103.4590988,NE,Jul,0,2013
773,10.0,Accidental,33.594593,-80.206375,SC,Feb,0,2011
775,0.6,Debris Burning,30.8988,-84.1749,GA,Feb,0,2000
778,3.0,Utilities,34.54682996,-89.65597737,MS,Jun,0,2012
779,2.0,Lightning,26.2639,-81.514,FL,Aug,0,2014
782,1.0,Arson,43.17635235,-77.61052715,NY,Aug,1,2003
788,2.0,Debris Burning,28.34296667,-97.71205,TX,Aug,0,2014
791,2.0,Debris Burning,31.8859302,-89.20268668,MS,May,0,2015
801,1.0,Debris Burning,44.28044214,-91.93976122,MN,May,0,2014
804,1.95,Debris Burning,31.01638889,-84.89972222,GA,Jul,0,2014
808,4.9,Arson,44.70000082,-67.80000333,ME,Jun,0,1992
811,70.0,Debris Burning,26.3825,-98.605,TX,Feb,1,2005
817,7.0,Utilities,42.60045,-114.39701,ID,Aug,0,2000
818,2.0,Arson,41.7782,-122.6395,CA,Jul,0,2000
826,1.1,Accidental,33.6588,-85.1642,GA,Nov,0,2001
834,125.0,Arson,36.3156,-84.47952,TN,Apr,2,2007
842,4.0,Arson,32.456084999999995,-80.987724,SC,Mar,0,2014
848,10.0,Lightning,45.94527778,-115.3161111,ID,Aug,5,2003
856,1.0,Arson,31.45454988,-89.72966745,MS,Feb,0,1996
858,27.0,Debris Burning,36.26666,-92.28333,AR,Apr,0,2014
860,1.0,Accidental,37.78222222,-118.9413889,CA,Sep,0,2011
864,1.0,Debris Burning,31.409569,-87.96703000000001,AL,Jul,0,2006
873,1.5,Utilities,32.2286,-104.3106,NM,Jun,0,2010
874,1.0,Debris Burning,30.81772821,-89.62257954,MS,Oct,0,2015
885,1.0,Accidental,45.80415537,-87.19286579999999,MI,May,0,1992
886,5.0,Debris Burning,35.525,-106.3809,NM,May,0,2002
888,0.8,Lightning,33.715,-109.1166667,AZ,Jun,1,2000
890,12.0,Lightning,36.55,-114.0792,NV,Jul,2,2007
892,14.6,Debris Burning,44.45954,-84.0329,MI,Mar,0,2012
897,1.0,Arson,31.38485886,-89.69710991,MS,Jul,0,2012
898,48.4,Debris Burning,48.7929,-118.8518,WA,Apr,167,2015
904,10.0,Debris Burning,37.1167,-107.2839,CO,Apr,0,1998
905,0.6,Debris Burning,34.7387,-85.0726,GA,Mar,0,1992
909,725.0,Lightning,32.56916667,-110.4536111,AZ,Jun,3,2008
919,50.0,Debris Burning,35.51670001,-94.75148335,OK,Feb,0,2009
920,1.5,Lightning,40.46307,-101.7912,NE,Aug,0,2014
921,1.0,Debris Burning,34.93883823,-89.22131759,MS,Jan,0,2014
925,8.0,Utilities,38.90525,-121.960717,CA,May,0,2012
929,5.0,Arson,34.86037408,-88.70755890000001,MS,Feb,0,1995
932,0.9,Lightning,35.28333333,-108.35,NM,Jul,1,2004
933,1.0,Arson,35.3,-79.66666666,NC,Aug,0,2010
935,7.0,Arson,36.23507,-91.16863,AR,Mar,0,2012
937,62.0,Lightning,33.8962,-104.4169,NM,Jul,0,1998
938,70.0,Arson,32.75036778,-89.89871456,MS,Feb,0,1992
947,110.4,Lightning,45.25945,-88.44646999999999,WI,May,2,2014
956,0.7,Arson,31.618,-81.8955,GA,Feb,0,2000
959,80.0,Arson,32.286666,-85.373632,AL,Mar,0,2007
963,146.0,Debris Burning,38.204,-93.528,MO,Mar,0,2014
970,1.8,Debris Burning,36.50583333,-81.0585,NC,Apr,0,2013
974,20.0,Debris Burning,46.4054,-120.747,WA,Jul,0,2002
977,1.9,Lightning,31.59722222,-92.54388889,LA,Jun,0,2012
984,1.0,Debris Burning,45.48194444,-88.49444444,WI,Sep,0,2008
988,62.0,Arson,35.2758,-98.3019,OK,Aug,1,2010
