state,discovery_month,fire_cause,Temp_pre_30,Wind_pre_30,Hum_pre_30,putout_time,fire_size_bin,fire_size_bin_no
MS,Jan,Debris Burning,10.57399166,3.430180807,71.37101449,0,Teacup,1
WA,Sep,Accidental,22.36657303,4.007132018,35.42488619,1,Mini,3
WY,Jul,Lightning,21.0140056,4.487955182,48.25462304,0,Mini,3
KY,Apr,Debris Burning,10.08803957,2.099820144,70.91691105,1,Medium,4
MS,Apr,Arson,12.41327684,3.733569405,59.41359773,0,Teacup,1
OR,Jul,Utilities,22.34752343,3.154166667,37.27956989,15,Large,5
GA,Mar,Debris Burning,15.4461975,2.878196347,66.47960445,0,Teacup,1
MS,Mar,Debris Burning,12.0724234,2.035654596,57.66295265,0,Teacup,1
TN,Nov,Accidental,12.17109005,2.426895735,65.51187648,0,Teacup,1
GA,Aug,Debris Burning,30.21010453,1.841463415,63.61888112,0,Toy,2
MS,Jul,Arson,27.53553957,2.1159712230000003,73.64502165,0,Teacup,1
GA,Mar,Debris Burning,12.79583333,3.454583333,61.58605341,0,Mini,3
TN,Feb,Arson,-0.3526259379999999,3.184656652,63.2875817,0,Mini,3
OK,Aug,Lightning,29.07767945,3.165339233,63.18514532,0,Teacup,1
MS,Sep,Debris Burning,26.96908078,1.101253482,70.49442897,0,Teacup,1
NY,Oct,Arson,11.05023548,3.041955193,67.29977629,0,Teacup,1
CA,May,Lightning,11.08330976,1.872135785,40.60992908,122,Medium,4
MS,Oct,Debris Burning,19.938049300000003,2.659291085,75.88335518,0,Teacup,1
MT,Aug,Lightning,20.10977242,2.709517426,52.25469169,2,Teacup,1
OK,Dec,Arson,8.836111111000001,3.3625,67.6222334,0,Mini,3
SD,Apr,Accidental,6.4550408720000005,5.26239782,61.67032967,0,Teacup,1
TX,Feb,Debris Burning,11.33224956,3.337906772,77.45783133,0,Teacup,1
AR,Apr,Accidental,16.65863229,1.551793722,68.99204545,0,Toy,2
AZ,May,Arson,16.83506686,4.265378900000001,39.43982169,0,Teacup,1
ND,Sep,Lightning,23.2559775,3.508626348,45.64556962,0,Teacup,1
CA,Oct,Utilities,18.90289608,3.523679727,68.79777365,0,Medium,4
GA,Aug,Debris Burning,24.97982456,2.517872807,77.81862745,0,Teacup,1
MO,Dec,Debris Burning,0.847713343,3.0676567660000003,72.69596462,0,Toy,2
OR,Sep,Lightning,21.59090909,1.977134986,53.71763085,0,Teacup,1
TN,Jun,Debris Burning,21.89069767,1.317860465,69.66361974,0,Teacup,1
CA,Sep,Arson,26.33097222,3.331111111,43.9875,1,Toy,2
GA,Jun,Lightning,24.228125,3.6740625,53.81099656,0,Teacup,1
NC,Jul,Arson,23.76908046,1.679391101,68.22274326,0,Mini,3
MS,Aug,Debris Burning,26.905424199999995,1.759497207,68.27552448,0,Teacup,1
GA,Mar,Arson,8.487406716,3.549860075,58.44433147,0,Mini,3
OK,May,Arson,15.42733299,2.831157573,68.55531453,0,Mini,3
AZ,Jun,Utilities,11.57142857,1.7571428569999998,86.4,0,Teacup,1
TX,Aug,Debris Burning,29.57948124,1.7739231130000002,68.52709588,0,Teacup,1
MT,May,Accidental,7.490427099,4.421502209,56.58928571,1,Teacup,1
MO,Mar,Arson,6.171269177,3.30097629,58.47140865,0,Teacup,1
NY,Mar,Utilities,-0.433306189,3.133469055,68.22051282,0,Teacup,1
AR,Apr,Arson,11.26682987,3.853243574,59.41907152,0,Mini,3
CA,May,Arson,14.09415121,2.131634183,60.54984894,0,Teacup,1
MS,Jun,Lightning,26.03342152,4.093374558,76.01872659,2,Toy,2
SC,Feb,Arson,8.380382775,2.356172249,62.48599767,0,Teacup,1
MS,Mar,Arson,14.34432836,2.575820896,70.10895522,0,Mini,3
GA,Nov,Arson,18.33802817,2.9720338980000003,60.78730159,0,Teacup,1
MT,Jun,Lightning,15.61815562,4.575613497,54.05172414,0,Teacup,1
FL,May,Lightning,22.04483092,2.407342995,73.74180328,0,Toy,2
AZ,Jul,Lightning,34.35430917,3.185088919,19.8495212,2,Medium,4
NM,May,Debris Burning,15.05106667,3.9804,27.48666667,1,Medium,4
GA,Apr,Debris Burning,15.47925072,2.9989310010000003,70.289801,0,Teacup,1
NV,Sep,Utilities,26.67619048,4.122857143,25.77142857,0,Toy,2
WA,Apr,Debris Burning,4.283906977,3.572597526,75.84086444,0,Mini,3
KY,Mar,Debris Burning,5.723327306,1.92841629,69.14405987,0,Mini,3
KY,Feb,Utilities,5.765498357,2.811771177,62.22721893,1,Mini,3
GA,May,Debris Burning,22.05977757,2.117933272,63.9761163,0,Teacup,1
WV,Jan,Debris Burning,1.404494382,3.159774965,63.41489362,0,Teacup,1
WV,Apr,Debris Burning,11.85189873,3.303586498,47.86708861,0,Teacup,1
AZ,Jul,Lightning,26.95,2.55505618,38.41242938,1,Mini,3
GA,Mar,Debris Burning,16.43794076,2.730112835,74.81651376,0,Teacup,1
AL,Nov,Arson,9.289042996,4.463106796,64.77259475,0,Mini,3
AL,Mar,Arson,12.676801800000002,3.4987612610000003,68.59884393,0,Medium,4
MS,Apr,Accidental,17.05138889,3.892222222,51.89722222,0,Toy,2
AL,Mar,Arson,0.44011065,4.518899858999999,66.95710059,1,Teacup,1
FL,Aug,Lightning,28.67540416,3.004767442,74.20046893,0,Teacup,1
MT,Aug,Lightning,21.41615487,2.213084112,46.82463186,9,Medium,4
KY,Aug,Lightning,23.99535604,1.745510836,72.16847172,4,Teacup,1
AL,Jun,Arson,19.50278552,2.306685237,62.88718663,9,Teacup,1
FL,Dec,Debris Burning,8.290277778,2.733055556,67.50560224,0,Teacup,1
NY,Apr,Accidental,7.491928721,2.806603774,63.04466231,0,Teacup,1
SC,Apr,Accidental,19.22460497,1.732844244,63.79232506,0,Teacup,1
SC,Apr,Arson,16.59326923,1.956105769,65.6513703,0,Mini,3
NE,Jul,Lightning,24.20993668,3.859814905,59.46366782,1,Mini,3
CA,May,Utilities,20.02486111,2.85875,36.90416667,0,Teacup,1
MT,Jul,Lightning,17.01204819,2.746875,50.7125,145,Teacup,1
SC,Jun,Arson,24.09138012,1.7193593969999998,67.06624452,0,Teacup,1
MS,Feb,Debris Burning,5.640044743,3.39753915,62.12761021,0,Mini,3
MS,Oct,Debris Burning,23.06203966,1.6216713880000002,70.61473088,0,Teacup,1
OR,Sep,Utilities,11.62160279,1.90058072,60.42105263,2,Toy,2
GA,Feb,Arson,12.62366092,2.278295296,69.14794816,0,Medium,4
UT,Jul,Lightning,21.47832258,3.673419355,28.99483204,1,Teacup,1
OR,Jul,Lightning,19.82384824,2.4277777780000003,53.65972222,13,Teacup,1
ME,May,Debris Burning,4.12136665,3.677363311,56.71149897,0,Mini,3
FL,Feb,Debris Burning,11.23583333,3.738333333,65.30252101,0,Teacup,1
OK,Aug,Lightning,27.37127127,1.017617618,78.33025404,0,Teacup,1
TX,Apr,Debris Burning,13.96152063,2.694065832,63.65280899,0,Mini,3
ND,Sep,Arson,15.6317734,5.050862069,66.98,0,Mini,3
OR,Aug,Lightning,23.41767068,1.95502008,55.22088353,4,Medium,4
OR,Jul,Utilities,21.15684455,3.85136891,56.12494194,0,Toy,2
AK,Jul,Lightning,13.83443709,2.906622517,69.86394558,28,Mini,3
ND,Apr,Arson,-1.37564645,5.796229972000001,72.39124227,0,Mini,3
TN,Apr,Utilities,13.76346516,3.051572927,62.6744186,1,Medium,4
CA,Jun,Utilities,20.22883721,2.103489995,52.68717463,0,Teacup,1
AL,Feb,Arson,5.136459555,2.450644783,64.17662338,0,Teacup,1
FL,May,Arson,24.90037879,3.405050505,72.64095745,0,Teacup,1
CO,Jul,Arson,20.33236994,3.011127168,33.24132948,0,Teacup,1
SD,Nov,Utilities,4.612640449,4.964315938,65.76011561,0,Toy,2
OK,Jan,Arson,5.200302115,3.654984894,64.24512987,0,Mini,3
GA,Apr,Arson,14.85956679,2.166666667,61.11070999,0,Teacup,1
