fire_id,discovery_month,Temp_pre_7,Wind_pre_7,fire_size_bin_no
14837,Jun,25.40322581,3.257258065,4
14860,Jun,30.39585799,5.771005917,4
14863,Mar,9.900480769,4.520192308,4
14915,Jan,5.090909091,4.2909090910000005,4
15197,Jun,21.03614458,3.9,4
15202,Jun,26.16302187,2.891451292,4
15228,Apr,4.080952381,1.951785714,4
15379,Nov,5.889032257999999,2.479545455,4
15418,Jul,24.7150289,2.790751445,4
15473,Jul,23.69948454,2.770618557,4
15485,Sep,18.63353293,4.35988024,4
15537,Jun,20.24206349,3.701590457,4
15581,Feb,11.39009901,2.992871287,4
15629,May,11.48421053,6.667894737,4
15634,Jul,26.15384615,3.592307692,4
15686,Apr,3.5666003980000003,5.370576541,4
15698,May,18.15227273,5.739772727,4
15769,Jun,35.33939394,3.451313131,4
15842,Jul,23.2273743,2.809497207,4
15925,Dec,0.953846154,3.699145299,4
15956,Aug,25.77380952,2.841666667,4
16114,Jun,24.29512195,4.343902439,4
16160,Jun,20.46583851,4.273913043,4
16218,Aug,22.40782123,1.832402235,4
16230,May,24.4957265,3.329059829,4
16346,Jun,19.81607143,4.251785714,4
16370,Sep,24.27391304,3.595652174,4
16393,Oct,12.74459459,1.130909091,4
16405,Apr,9.859244533,1.750099404,4
16491,Aug,27.31956522,4.17826087,4
16526,Apr,8.076923077,1.45,4
16601,Aug,35.12171429,3.232,4
16651,Dec,18.38358974,3.174358974,4
16735,Jun,18.81666667,1.7875,4
16753,Mar,3.882352941,3.313574661,4
16767,Jun,25.35555556,1.74962963,4
16778,Apr,10.15324675,6.894805195,4
16808,Mar,27,1,4
16823,Aug,26.46964286,2.769047619,4
16944,Oct,21.77777778,3.264957265,4
16945,Jun,27.26666667,2.195555556,4
17009,Aug,28.40243902,2.554878049,4
17033,Aug,24.20238095,4.830952381,4
17043,May,13.76753507,5.507214428999999,4
17085,Aug,14.01428571,3.817857143,4
17135,Sep,24.65142857,1.134857143,4
17152,Jan,6.25862069,0.689273356,4
17190,Apr,4.916666667,1.918687873,4
17223,Sep,11.13233083,1.616541353,4
17344,Nov,2.038095238,5.05,4
17379,Jul,24.78203593,2.910179641,4
17433,Jul,22.95238095,4.577707006,4
17473,Apr,14.27392996,1.66381323,4
17527,May,10.64885057,2.71091954,4
17565,Oct,19.95104895,2.557342657,4
17692,Jul,31.71676301,2.9520231210000003,4
17697,May,17.08791209,4.226373626,4
17748,Mar,17.38495575,4.530973451,4
17762,Aug,19.13636364,2.083522727,4
17830,Feb,12.73053892,2.058882236,4
17884,Aug,24.75409836,1.878688525,4
17904,Apr,13.72347826,2.359649123,4
17953,Mar,10.77639752,4.2192546580000005,4
18029,Jun,24.53265306,1.68877551,4
18109,Jun,17.40652174,3.27173913,4
18116,Apr,16.20736196,3.681595092,4
18142,Oct,16.38392857,1.921428571,4
18271,Jun,29.00547264,3.293401015,4
18295,Aug,24.27966102,3.468644068,4
18361,Mar,8.530120482000001,3.627309237,4
18374,Feb,12.07559524,1.932142857,4
18382,Feb,13.16646707,1.806586826,4
18383,Aug,28.43113772,1.242714571,4
18388,Jul,29.61176471,1.090995261,4
18539,Jul,22.76047904,2.547305389,4
18545,Mar,18.64345238,3.616666667,4
18651,Apr,13.65300546,6.084699454,4
18665,Jul,25.67142857,1.927380952,4
18718,Apr,16.78776978,2.060431655,4
18839,Jun,30.08196721,5.041436463999999,4
18920,Mar,7.286580087000001,4.834199134,4
18945,Jun,28.60898876,5.734831461000001,4
18961,Jul,32.9408284,4.1142011830000005,4
18966,May,22.83940678,2.066101695,4
18989,Jun,20.10179641,3.615432099,4
19003,Mar,12.26826347,1.78742515,4
19024,Apr,14.21966292,3.1280898880000003,4
19033,Jul,28.68965517,2.686206897,4
19038,Oct,22.92682927,1.525609756,4
19294,Mar,12.725,3.07223382,4
19307,Mar,17.32619048,5.382380952,4
19467,Mar,6.053448276,5.525,4
19515,Mar,13.45436508,2.336507937,4
19523,Aug,19.86792453,2.335220126,4
19545,Sep,11.74623656,3.984408602,4
19665,Sep,24.76705202,2.480346821,4
19738,Mar,8.018181818,4.641363636,4
19818,Apr,6.963302752000001,5.571559633,4
19862,Aug,28.108,1.693,4
19877,Feb,15.22168675,3.237575758,4
19932,Mar,5.377092511,5.181938326,4
19940,Mar,8.00623053,2.656386293,4
19992,Oct,12.95638767,4.358590308,4
20078,Jun,28.36019417,4.2417475730000005,4
20090,May,12.63453815,2.367670683,4
20099,Jun,18.44418605,2.198837209,4
20101,Sep,17.225,1.07,4
20190,Mar,4.763095238,5.464880952000001,4
20192,Feb,5.718875502,4.248393574,4
20235,Jun,20.16555556,3.052222222,4
20238,Aug,18.55141243,2.674576271,4
20279,Feb,9.542857143,3.402380952,4
20346,May,20.40643275,4.571929825,4
20404,Mar,12.03834197,4.60880829,4
20433,Mar,17.10401786,3.3607142860000003,4
20440,Oct,12.41516966,2.2331337330000003,4
20503,Aug,25.05389222,4.083832335,4
20528,Aug,22.44502924,3.916374269,4
20535,May,13.78915663,4.0819277110000005,4
20536,Jun,13.67142857,5.286746988,4
20573,Aug,27.16232877,2.990410959,4
20602,Jun,29.60738636,3.019318182,4
20642,Mar,-2.206412826,2.410752688,4
20798,Mar,18.86767896,1.331263858,4
20836,Jun,16.23306773,2.49501992,4
20838,Jun,28.50688073,1.199770642,4
20843,Apr,16.09255533,5.097183099,4
20866,Aug,26.87615063,2.718828452,4
20868,Feb,14.21031746,5.139562624,4
20915,Nov,7.848351647999999,1.475274725,4
21005,Mar,9.371282051,5.334358974,4
21026,Apr,21.53968254,1.910912698,4
21039,Jun,18.75846154,3.363076923,4
21042,Aug,21.40963855,3.5156626510000004,4
21065,Jun,24.30019881,1.333200795,4
21139,Sep,17.86084906,3.981603774,4
21149,Aug,26.00578512,3.958677686,4
21211,Aug,22.21179487,3.120634921,4
21265,Mar,16.93061224,4.20915493,4
21328,Aug,24.17430168,2.922905028,4
21497,Oct,26.62721893,3.1763313610000004,4
21534,Jul,23.68,2.7825,4
21536,Jul,29.94444444,5.441269841,4
21557,Mar,15.168556699999998,3.680927835,4
21588,Dec,11.12473573,1.848414376,4
21626,Aug,25.23446894,3.725250501,4
21641,Jun,26.125,3.122782258,4
21667,Aug,30.31666667,1.576587302,4
21829,Aug,32.71864407,3.44519774,4
22001,Jul,25.42154567,4.8627634660000005,4
22018,Jul,28.60588235,6.475294118,4
22074,May,19.31578947,4.672180451,4
22100,Mar,6.267088608,4.003821656,4
22159,Nov,9.667164179,2.367171717,4
22179,Jun,21.57352941,4.570588235,4
22262,Mar,8.848809524,3.730952381,4
22266,Aug,27,4.33902439,4
22286,Feb,9.508888889,3.073888889,4
22295,Mar,8.679255319,3.161702128,4
22350,Jul,25.69277108,3.747682119,4
22444,Mar,14.0254717,3.260377358,4
22454,Mar,3.711904762,5.594642857,4
22519,Mar,11.48888889,3.786666667,4
22590,May,15.0139165,5.993836977999999,4
22594,Feb,8.287698413,2.534722222,4
22601,Mar,4.574552684,4.102982107,4
22715,Feb,14.41351889,2.030417495,4
22782,Mar,18.89184783,4.930434783,4
22802,Sep,20.12248521,2.782248521,4
22833,Aug,17.71597633,3.002366864,4
22959,Sep,27.67202381,3.292261905,4
22995,Nov,13.37747036,2.490513834,4
23012,Jul,26.93502825,3.997142857,4
23019,Feb,-6.769322709,5.543027887999999,4
23094,Mar,8.19760479,2.206060606,4
23108,Jul,29.70461847,2.693574297,4
23150,Jul,13.59763158,1.838421053,4
23204,Dec,8.261176471,4.278235294,4
23210,Aug,27.493975899999995,3.141566265,4
23240,Aug,24.36363636,2.233333333,4
23258,Jun,20.03793103,1.631034483,4
23303,May,5.692537313,5.116791045,4
23357,Nov,6.075757576,5.278787878999999,4
23555,Nov,15.27860697,2.376616915,4
23564,Apr,5.560240964,4.209716599,4
23577,Mar,7.351648352000001,5.581868132,4
23606,Feb,-0.5,2.775992063,4
23617,Jul,17.19148936,1.904255319,4
23627,Sep,24.77357513,2.641450777,4
23748,Aug,24.07142857,2.0532467530000003,4
23792,Jul,26.78415301,4.210928962,4
23805,Oct,12.05309278,2.840206186,4
23816,Feb,11.95384615,1.995708155,4
23824,Aug,17.11976048,4.584353741,4
23848,Mar,3.5534412960000004,2.731983806,4
23856,Apr,2.386904762,2.833134921,4
23863,May,24.44318182,4.851136363999999,4
23893,Oct,14.80379747,6.692405063,4
23919,Jul,24.91497976,4.745748988,4
23954,Sep,18.61294118,1.885294118,4
23967,Apr,16.53012048,2.442771084,4
23973,Apr,3.619631902,3.30797546,4
23983,Feb,16.13267327,4.078217822,4
24080,Apr,20.5734127,4.868650794,4
24092,Jul,27.53025641,3.12,4
24096,Jun,14.24625268,1.722912206,4
24148,Aug,23.15060241,4.72037037,4
24149,Aug,22.13953488,3.569767442,4
24153,Sep,22.05765408,1.225447316,4
24170,Mar,7.832934132,3.42754491,4
24196,Apr,15.27321429,4.150595238,4
24259,May,17.83333333,3.713953488,4
24409,Aug,22.76934673,3.6,4
24423,Apr,10.71030043,4.247639485,4
24446,Jul,19.61538462,3.230769231,4
24456,May,13.172,4.8392,4
24510,Oct,12.94035785,4.369184891000001,4
24526,Jul,27.38235294,2.756470588,4
24574,Jul,30.672,1.8858,4
24593,Jul,26.42754491,1.7233532930000002,4
24600,Mar,15.40191388,2.16937799,4
24649,Aug,26.22862823,2.572763419,4
24738,Jun,16.35471698,4.065876777,4
24773,Apr,24.49863014,2.5527522940000003,4
24827,Apr,16.49565217,3.994594595,4
24966,Jun,20.16555556,3.052222222,4
25049,Jul,33.82926829,4.516463415,4
25149,Sep,24.3539823,1.7128318580000002,4
25151,Oct,9.739698492,4.71010101,4
25158,Dec,6.878787879,3.579608939,4
25209,Jul,25.41313559,3.809322034,4
25283,Jul,15.10714286,4.426785714,4
25293,Feb,6.005952381,1.924404762,4
25297,Aug,25.47391304,2.417391304,4
25423,Mar,13.30161943,3.641700405,4
25425,Jul,28.58109453,4.333333333,4
25533,Jul,24.14856557,3.430532787,4
25635,May,10.57028112,3.201405622,4
25651,Jun,23.49007937,2.613095238,4
