state,discovery_month,fire_cause,Temp_pre_7,Wind_pre_7,Hum_pre_7,putout_time,fire_size_bin,fire_size_bin_no
ID,Jun,Utilities,23.45793651,5.311111111000001,26.63492063,0,Mini,3
AZ,Nov,Accidental,9.282738095,2.29047619,25.07142857,1,Mini,3
KS,Mar,Debris Burning,-0.121808511,3.683870968,62.88172043,0,Mini,3
MS,Nov,Arson,12.28061224,2.219897959,60.95419847,0,Teacup,1
CA,May,Lightning,20.11973392,2.066740576,28.64523282,3,Mini,3
MS,Feb,Accidental,10.73869048,3.883928571,51.23780488,0,Medium,4
CA,Oct,Arson,13.28795987,2.7488294310000003,74.04562738,0,Teacup,1
MS,Oct,Debris Burning,16.63925926,1.148148148,78.88780488,0,Teacup,1
MT,May,Lightning,19.40526316,2.884705882,52.97058824,0,Teacup,1
MT,Mar,Accidental,7.175595238,3.471428571,56.11278195,0,Teacup,1
KY,Mar,Accidental,9.152777778,1.996620278,62.20905172,0,Toy,2
MT,Jul,Lightning,27.43372781,2.595857988,36.36686391,0,Large,5
NV,Aug,Lightning,24.95191257,2.667759563,34.19125683,1,Mini,3
KY,Apr,Arson,8.296296296,3.081987578,65.06206897,1,Teacup,1
AZ,Sep,Lightning,21.25754527,2.162575453,47.68666667,3,Teacup,1
KS,Oct,Debris Burning,10.69871795,4.180769231,39.52564103,1,Large,5
GA,Jun,Debris Burning,29.16588235,2.149411765,60.68235294,0,Teacup,1
MS,May,Arson,24.88502994,1.371257485,63.34730539,0,Teacup,1
SD,Oct,Utilities,17.62363636,3.907272727,32.08181818,0,Medium,4
AK,Jul,Lightning,14.41396226,1.97245283,57.48490566,12,Toy,2
AR,Jun,Debris Burning,25.66555556,2.920555556,61.76666667,0,Medium,4
ID,Jul,Lightning,19.52287582,1.321568627,56.91304348,1,Teacup,1
AL,Mar,Arson,3.0351190480000003,6.056547619,63.9939759,0,Mini,3
WV,Mar,Debris Burning,3.0421052630000003,3.863186813,62.54857143,0,Mini,3
MS,Mar,Arson,13.86441718,2.654601227,67.16666667,0,Teacup,1
NE,May,Debris Burning,10.5025641,6.913675214,65.94642857,0,Toy,2
MS,Aug,Debris Burning,26.27647059,1.766470588,67.41566265,0,Toy,2
ID,Jul,Arson,23.69081081,3.769189189,37.51351351,0,Mini,3
TX,Jul,Arson,30.73737575,3.313518887,56.550898200000006,0,Toy,2
NM,Apr,Debris Burning,4.382938389,6.093838862999999,47.55502392,0,Medium,4
CA,Jun,Lightning,21.45119048,2.007142857,37.0,1,Toy,2
MN,Jul,Accidental,22.49786325,3.064316239,61.39400428,1,Teacup,1
WI,Apr,Accidental,10.42857143,3.514285714,28.71428571,0,Teacup,1
NY,Apr,Debris Burning,6.235294118,2.9779411760000003,76.12389381,0,Teacup,1
TX,Jan,Debris Burning,16.85667752,3.806614786,67.68669528,1,Mini,3
MT,Apr,Accidental,4.086904762,3.414285714,68.95238095,0,Teacup,1
TN,Oct,Arson,18.60206718,0.396640827,72.41436464,0,Mini,3
SC,Feb,Accidental,7.918489066,1.837574553,60.23777778,0,Mini,3
GA,Feb,Debris Burning,18.49152542,3.930322581,71.55199999999999,0,Teacup,1
MS,Jun,Utilities,25.3,1.109418838,60.77955912,0,Teacup,1
FL,Aug,Lightning,28.83116279,2.802790698,80.78064516,0,Teacup,1
NY,Aug,Arson,21.66622517,2.116225166,86.71276596,1,Teacup,1
TX,Aug,Debris Burning,30.54543651,5.9468253970000005,65.97352342,0,Teacup,1
MN,May,Debris Burning,7.447524752,3.82039604,74.74576271,0,Teacup,1
GA,Jul,Debris Burning,30.27108434,2.025903614,62.28915663,0,Teacup,1
TX,Feb,Debris Burning,1.157738095,4.246706587,64.56287425,1,Medium,4
ID,Aug,Utilities,25.23728814,4.5360000000000005,42.24571429,0,Toy,2
CA,Jul,Arson,22.94797688,3.1865497080000003,39.78947368,0,Teacup,1
GA,Nov,Accidental,12.0519774,1.837714286,64.25675676,0,Teacup,1
TN,Apr,Arson,11.85675676,1.313513514,66.70813397,2,Medium,4
SC,Mar,Arson,11.84759825,2.445851528,74.69911504,0,Teacup,1
ID,Aug,Lightning,22.04347826,1.122981366,56.44720497,5,Mini,3
MS,Feb,Arson,2.905952381,3.4101190480000003,76.17261905,0,Teacup,1
AR,Apr,Debris Burning,11.98125,2.772321429,66.13145540000001,0,Mini,3
CA,Sep,Accidental,14.0,2.016898608,40.77733598,0,Teacup,1
AL,Jul,Debris Burning,27.28720379,2.279146919,66.00473934,0,Teacup,1
NM,Jun,Utilities,30.4622549,5.002941176,41.23039216,0,Teacup,1
MS,Oct,Debris Burning,22.28015873,1.154183267,68.12151394,0,Teacup,1
MI,May,Accidental,7.472043011,5.508695652,70.0,0,Teacup,1
AZ,Jun,Lightning,22.21686747,4.256626506,38.59036145,1,Teacup,1
NV,Jul,Lightning,37.02176471,2.988823529,8.970588235,2,Mini,3
MI,Mar,Debris Burning,11.99800797,1.77253012,79.07951807,0,Mini,3
MS,Jul,Arson,27.76267748,1.85821501,56.92494929,0,Teacup,1
WA,Apr,Debris Burning,6.512716762999999,2.7354651160000003,51.56395349,167,Mini,3
CO,Apr,Debris Burning,3.431137725,3.032934132,54.74375,0,Mini,3
GA,Mar,Debris Burning,7.420930232999999,0.580952381,74.97619048,0,Teacup,1
AZ,Jun,Lightning,32.88214286,3.5559523810000004,14.27380952,3,Medium,4
OK,Feb,Debris Burning,7.507186858,3.229774127,61.95652174,0,Medium,4
NE,Aug,Lightning,23.6372973,4.107065217,62.65217391,0,Teacup,1
CA,May,Utilities,18.64674556,3.14556213,50.58579882,0,Toy,2
MS,Feb,Arson,11.6631068,3.216504854,47.07142857,0,Toy,2
NM,Jul,Lightning,22.07627119,3.041525424,39.51282051,1,Teacup,1
NC,Aug,Arson,24.88797814,1.820111732,83.48414986,0,Teacup,1
NM,Jul,Lightning,28.66363636,3.603246753,43.79220779,0,Medium,4
MS,Feb,Arson,6.767857143,3.645833333,64.54761905,0,Medium,4
WI,May,Lightning,13.77797619,3.206746032,69.03298969,2,Medium,4
GA,Feb,Arson,12.18390805,3.196551724,54.69411765,0,Teacup,1
AL,Mar,Arson,15.55339806,2.36195122,72.09444444,0,Medium,4
MO,Mar,Debris Burning,4.064386318,3.162704918,63.47186147,0,Medium,4
NC,Apr,Debris Burning,10.31349206,1.718924303,53.260181,0,Teacup,1
WA,Jul,Debris Burning,27.34923077,3.243589744,37.98461538,0,Mini,3
WI,Sep,Debris Burning,17.85738397,2.201687764,70.21834061,0,Teacup,1
OK,Aug,Arson,29.46520875,0.015308151,59.43574297,1,Medium,4
KY,Mar,Accidental,9.723350254,3.830456853,74.76470588,0,Teacup,1
MS,Sep,Debris Burning,24.45505618,2.414689266,57.85875706,0,Teacup,1
SD,Jul,Accidental,17.94047619,4.036904762,70.03144654,0,Teacup,1
